GEOID,source
13309,1
20139,3
20179,1
17197,3
17099,3
72135,0
72003,0
35011,2
17069,0
28077,2
28113,3
54089,3
56017,0
17143,3
17141,3
72131,0
72087,0
48259,3
48031,2
48421,0
48149,3
54029,3
13109,2
17181,2
17105,3
17203,3
72149,0
72065,0
45011,3
42113,0
47113,3
13259,2
50015,3
17057,3
17049,3
72093,0
72001,0
47177,3
47015,3
51183,3
51650,3
17033,2
39099,0
72029,0
69120,0
47039,1
46067,2
51740,3
51840,3
51197,3
51685,3
12035,3
42011,0
42059,0
13037,1
15005,0
46135,3
46015,2
46087,2
51550,3
51540,3
51830,3
39153,0
39165,0
27003,0
27159,0
27017,0
46081,3
46125,2
46089,1
51720,2
51750,3
13285,3
39149,0
39115,0
39051,0
27111,0
27035,0
27043,0
47047,3
46109,2
13087,3
13057,3
55045,3
55071,3
27083,0
27087,0
27085,0
27091,0
46069,1
47131,3
46061,1
13147,2
19051,0
19125,0
18033,0
39145,0
39129,0
27135,0
27081,0
27121,0
46021,1
47109,2
46017,1
18043,0
19187,0
19173,0
39131,0
12081,3
27151,0
4019,0
38021,2
47171,2
20073,2
20047,1
19095,0
19091,0
18159,0
18039,0
55097,3
55081,3
38023,2
38013,1
48169,2
48065,1
20063,1
20017,1
47023,2
18021,0
18105,0
19011,0
39015,0
39057,0
38049,2
22121,3
47027,3
56037,0
19005,0
18107,0
18047,0
72081,0
72021,0
60040,0
22003,3
22061,3
56023,0
56001,0
20041,3
20021,3
20133,3
72151,0
22095,3
38093,2
38063,2
56019,0
20061,3
20159,2
20191,3
20093,1
72013,0
72105,0
38047,1
38083,1
38089,2
54009,3
54061,3
29153,1
29161,3
29179,2
53005,3
13045,3
13145,3
72043,0
36021,3
46099,3
46077,1
46097,1
20127,2
30109,0
21091,3
37187,3
19097,0
1083,3
33011,3
56015,0
13167,1
37025,3
19021,0
18151,0
19085,0
19007,0
18055,0
33005,3
31169,2
16011,3
51580,2
28105,3
18095,0
18031,0
20181,2
20031,3
21045,3
17115,3
17051,3
31025,3
31095,2
28015,2
16051,3
17139,2
17193,2
39113,0
39045,0
31099,3
31053,3
13003,1
35061,3
31069,1
39143,0
39147,0
39003,0
39109,0
31131,2
31059,2
31047,3
31003,1
21083,3
39023,0
39083,0
48437,2
41013,0
42087,0
55039,3
48385,1
42015,0
22027,3
21219,3
48493,3
46111,1
13165,2
48013,3
55089,3
30011,0
1133,3
20173,0
