type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000800,Black,02/2023,1,3.75,2025-03-15
Census Tract,47157000800,Black,03/2023,2,2.5,2025-03-15
Census Tract,47157000800,Black,04/2023,2,7,2025-03-15
Census Tract,47157000800,Black,05/2023,6,10.25,2025-03-15
Census Tract,47157000800,Black,06/2023,12,4.5,2025-03-15
Census Tract,47157000800,Black,07/2023,2,6.5,2025-03-15
Census Tract,47157000800,Black,08/2023,6,7.25,2025-03-15
Census Tract,47157000800,Black,09/2023,2,7.5,2025-03-15
Census Tract,47157000800,Black,10/2023,1,5.5,2025-03-15
Census Tract,47157000800,Black,11/2023,5,3,2025-03-15
Census Tract,47157000800,Black,12/2023,4,5.25,2025-03-15
Census Tract,47157000800,Black,01/2024,7,5.75,2025-03-15
Census Tract,47157000800,Black,02/2024,7,3.75,2025-03-15
Census Tract,47157000800,Black,03/2024,2,2.5,2025-03-15
Census Tract,47157000800,Black,04/2024,7,7,2025-03-15
Census Tract,47157000800,Black,05/2024,5,10.25,2025-03-15
Census Tract,47157000800,Black,06/2024,6,4.5,2025-03-15
Census Tract,47157000800,Black,07/2024,4,6.5,2025-03-15
Census Tract,47157000800,Black,08/2024,7,7.25,2025-03-15
Census Tract,47157000800,Black,09/2024,5,7.5,2025-03-15
Census Tract,47157000800,Black,10/2024,0,5.5,2025-03-15
Census Tract,47157000800,Black,11/2024,3,3,2025-03-15
